Source;Target;Weight
155;10223;100.0
155;13336;100.0
155;16185;100.0
155;3739;100.0
155;7211;100.0
156;10223;100.0
156;13336;100.0
156;14000;0.0
156;16185;100.0
156;3739;100.0
156;7211;100.0
157;10223;100.0
157;10562;10.0
157;11195;10.0
157;11467;10.0
157;11494;10.0
157;11632;10.0
157;1254;10.0
157;12591;10.0
157;13149;10.0
157;13336;100.0
157;14229;10.0
157;15394;1.0
157;16185;100.0
157;1756;10.0
157;1773;10.0
157;2301;10.0
157;2334;10.0
157;2528;10.0
157;3231;0.0
157;3739;100.0
157;4571;10.0
157;4972;50.0
157;5011;10.0
157;5072;10.0
157;5212;20.0
157;5468;10.0
157;5680;10.0
157;679;10.0
157;7211;100.0
157;8023;0.0
157;8474;20.0
157;9037;-10.0
157;9489;30.0
157;9611;10.0
158;13336;100.0
158;16185;100.0
158;3739;100.0
158;7211;100.0
159;2920;100.0
160;10223;100.0
160;13336;100.0
160;16185;100.0
160;3739;100.0
160;7211;100.0
161;12208;3.0
161;13267;100.0
161;13336;100.0
161;16185;100.0
161;16577;0.0
161;3739;100.0
161;6399;1.0
161;7211;100.0
162;13336;100.0
162;16185;100.0
162;3739;100.0
162;7211;100.0
163;10223;100.0
163;13336;100.0
163;16185;100.0
163;3739;100.0
163;7211;100.0
164;10223;100.0
164;12721;1.0
164;13336;100.0
164;16185;100.0
164;3739;100.0
164;7211;100.0
164;7795;1.0
165;10223;100.0
165;13336;100.0
165;16185;100.0
165;3739;100.0
165;7211;100.0
166;10223;100.0
166;13336;100.0
166;16185;100.0
166;3739;100.0
166;7211;100.0
167;13267;100.0
167;13336;100.0
167;16185;100.0
167;3739;100.0
167;7211;100.0
168;10223;100.0
168;13336;100.0
168;16185;100.0
168;3739;100.0
168;7211;100.0
169;10223;100.0
169;13336;100.0
169;16185;100.0
169;1892;10.0
169;2824;10.0
169;3739;100.0
169;4219;10.0
169;5011;10.0
169;7211;100.0
169;8827;10.0
169;9334;10.0
170;13267;100.0
170;13336;100.0
170;16185;100.0
170;3739;100.0
170;7211;100.0
171;13267;100.0
171;13336;100.0
171;16185;100.0
171;3739;100.0
171;7211;100.0
172;10223;100.0
172;13336;100.0
172;16185;100.0
172;3739;100.0
172;7211;100.0
173;12141;75.0
173;13267;100.0
173;13336;100.0
173;16185;100.0
173;3739;100.0
173;7211;100.0
174;10223;100.0
174;13336;100.0
174;16185;100.0
174;3739;100.0
174;7211;100.0
175;13267;100.0
175;13336;100.0
175;16185;100.0
175;3739;100.0
175;7211;100.0
176;10223;100.0
176;13336;100.0
176;16185;100.0
176;3739;100.0
176;7211;100.0
177;13336;100.0
177;16185;100.0
177;3739;100.0
177;7211;100.0
178;13267;100.0
178;13336;100.0
178;16185;100.0
178;3739;100.0
178;7211;100.0
179;10223;100.0
179;10361;0.0
179;11195;10.0
179;12520;10.0
179;13336;100.0
179;1536;0.0
179;16185;100.0
179;3739;100.0
179;7211;100.0
179;7528;0.0
180;10223;100.0
180;13336;100.0
180;16185;100.0
180;3739;100.0
180;7211;100.0
181;10223;100.0
181;13336;100.0
181;16185;100.0
181;3739;100.0
181;7211;100.0
182;13267;100.0
182;13336;100.0
182;16185;100.0
182;3739;100.0
182;7211;100.0
183;13336;100.0
183;16185;100.0
183;3739;100.0
183;7211;100.0
184;10223;100.0
184;13336;100.0
184;16185;100.0
184;3739;100.0
184;7211;100.0
185;10223;100.0
185;13336;100.0
185;16185;100.0
185;3739;100.0
185;7211;100.0
186;10223;100.0
186;13336;100.0
186;16185;100.0
186;3739;100.0
186;7211;100.0
187;10223;100.0
187;1182;1.0
187;13336;100.0
187;16185;100.0
187;3097;1.0
187;3739;100.0
187;7211;100.0
188;10076;50.0
188;10223;50.0
188;10275;50.0
188;10416;50.0
188;10678;50.0
188;10684;50.0
188;10697;50.0
188;10782;50.0
188;10883;50.0
188;11323;50.0
188;11324;50.0
188;11467;50.0
188;11543;50.0
188;11554;50.0
188;11736;50.0
188;11878;50.0
188;12210;50.0
188;12520;50.0
188;1252;50.0
188;12905;50.0
188;12908;50.0
188;12926;50.0
188;1302;50.0
188;13303;50.0
